NP,power,time,bkg
0,5.0,3,0.0
0,5.0,4,0.0
0,5.0,5,0.0
0,5.0,6,0.0
0,5.0,7,203480.66360331327
0,5.0,8,0.0
0,5.0,9,0.0
0,5.0,10,0.0
0,5.0,11,20816.631739430508
0,5.0,12,39272.12099286877
0,5.0,13,0.0
0,5.0,14,340593.2794651549
0,5.0,15,305335.12157894723
0,5.0,17,461050.90154642606
0,5.0,18,250280.49932364124
0,5.0,19,182856.78185852146
0,5.0,20,0.0
0,5.0,21,115229.53129376494
0,5.0,22,922221.1334813646
0,5.0,23,1392436.0490181139
0,5.0,24,61737.37485111979
0,5.0,25,121844.53904072643
0,5.0,26,0.0
0,5.0,27,415482.76681176655
0,5.0,28,0.0
0,5.0,29,15925.131339148676
0,5.0,30,550869.3117809775
0,5.0,31,14071.078539310256
0,5.0,32,510797.9678107117
0,5.0,33,0.0
0,5.0,34,326247.1003571869
0,5.0,35,17885.50027206712
0,5.0,36,0.0
0,5.0,37,0.0
0,5.0,38,0.0
0,5.0,41,0.0
0,5.0,44,0.0
0,5.0,49,0.0
0,5.0,58,0.0
0,5.0,65,0.0
0,5.0,66,0.0
0,5.0,68,0.0
0,5.0,82,1352339.2046713112
0,5.0,85,0.0
0,5.0,90,878933.5574554373
0,5.0,91,872359.0651912712
0,5.0,92,587133.8556429195
0,5.0,93,0.0
0,5.0,99,0.0
0,5.0,100,589833.4579873694
0,5.0,101,0.0
0,5.0,104,63219.86302054104
0,5.0,115,411953.7768862415
0,5.0,116,481661.0428979189
0,5.0,119,0.0
0,5.0,120,0.0
0,5.0,127,203254.1007553364
0,5.0,173,0.0
0,50.0,0,815410.9030892192
0,50.0,1,906343.8825858452
0,50.0,2,881236.9447212098
0,50.0,3,720879.4866631856
0,50.0,4,745644.6710536883
0,50.0,5,721710.2452764951
0,50.0,6,753242.6847128533
0,50.0,7,1349513.9654423804
0,50.0,8,2565699.218829246
0,50.0,9,2591990.5338264275
0,50.0,10,2632908.032137846
0,50.0,11,1931358.117510836
0,50.0,12,1621585.8385665193
0,50.0,13,1358132.774708693
0,50.0,14,1477569.4318463486
0,50.0,15,1513626.0357921016
0,50.0,16,1274201.160733488
0,50.0,17,1324121.6324566407
0,50.0,18,1321350.5950091
0,50.0,19,1211219.8652706896
0,50.0,20,1166051.0748311277
0,50.0,21,1081359.3816987136
0,50.0,22,1122294.9661702618
0,50.0,23,1316164.3700376179
0,50.0,24,1499804.8512062237
0,50.0,25,1518601.3582634712
0,50.0,26,1669815.4104667103
0,50.0,27,1640424.8526021317
0,50.0,28,1553185.9327519804
0,50.0,29,1492660.1229714723
0,50.0,30,1551185.2778183867
0,50.0,31,1525404.5028956183
0,50.0,32,960984.3761891718
0,50.0,33,851478.3777185398
0,50.0,34,846387.1485391373
0,50.0,35,798265.4677115704
0,50.0,36,784388.7073876366
0,50.0,37,990219.2950753539
0,50.0,38,897335.7431968835
0,50.0,39,635489.6475504508
0,50.0,40,613123.3026589057
0,50.0,41,743944.9304664952
0,50.0,42,952133.6000154507
0,50.0,43,809343.9207935205
0,50.0,44,971381.8013746139
0,50.0,45,918373.2055791732
0,50.0,46,927278.2894386103
0,50.0,47,639261.9411916798
0,50.0,48,627152.2589242328
0,50.0,49,575992.7454630035
0,50.0,50,518308.13531759137
0,50.0,52,431970.7844513928
0,50.0,53,523674.26968908857
0,50.0,54,525217.8905721969
0,50.0,56,516399.7652720472
0,50.0,57,440615.9857347313
0,50.0,58,516965.8878873819
0,50.0,59,527444.6465343072
0,50.0,60,467518.79023100995
0,50.0,61,503836.5139654651
0,50.0,62,486750.86200533644
0,50.0,63,406099.3999465816
0,50.0,65,412190.6972194156
0,50.0,66,446070.87523068907
0,50.0,67,431011.638406883
0,50.0,69,430572.7153320502
0,50.0,70,422845.13253764855
0,50.0,71,389186.83341573854
0,50.0,73,403951.36612059973
0,50.0,74,606730.1781988189
0,50.0,75,468623.0026939274
0,50.0,77,341796.35671933094
0,50.0,78,370111.39818088815
0,50.0,79,419790.4870818083
0,50.0,80,430159.486505427
0,50.0,81,514789.6686065813
0,50.0,82,513761.11866330943
0,50.0,83,415378.21106911695
0,50.0,84,382268.91972755373
0,50.0,85,400697.8890191831
0,50.0,86,414622.5160015239
0,50.0,93,528834.9585907981
0,50.0,94,593766.0894728629
0,50.0,98,524353.2045400178
0,50.0,100,502849.02580534504
0,50.0,105,526140.7787875446
0,50.0,108,485755.5459377584
0,50.0,114,430738.36658225616
0,50.0,126,407965.76999172947
0,50.0,127,420243.4713581838
0,50.0,128,508290.246677157
0,50.0,129,650632.1126068282
0,50.0,130,571163.6667567105
0,50.0,145,480755.515281535
0,50.0,151,435544.57898916834
0,50.0,165,409408.5933718574
0,100.0,149,377507.83750474977
0,100.0,157,366456.62808517186
0,100.0,159,384314.3077695521
0,100.0,160,355537.95903763745
0,100.0,161,368828.40883805015
0,100.0,163,394235.98409612855
0,100.0,164,351823.2602105809
0,100.0,170,358043.50959645654
0,100.0,171,369420.9859824133
0,100.0,172,352627.3009463425
0,100.0,173,374681.9624324285
0,100.0,174,354631.7470308865
0,100.0,175,374014.74593336775
0,100.0,176,387892.1531773753
0,100.0,178,380822.60814688087
0,100.0,179,372465.574211948
0,100.0,180,357616.62241066666
0,100.0,182,331973.68651989306
0,100.0,184,354591.0966449991
0,100.0,185,339451.8631579296
0,100.0,193,339677.76799079176
0,150.0,1,397485.149233304
0,150.0,2,413389.53367991914
0,150.0,3,388356.6775048162
0,150.0,4,428349.42772384407
0,150.0,5,409593.6026347635
0,150.0,6,444146.1329267672
0,150.0,7,399956.96803501167
0,150.0,8,442832.9695747624
0,150.0,9,454775.1053442959
0,150.0,10,448063.1246938254
0,150.0,11,413972.09393289284
0,150.0,12,436026.8546238925
0,150.0,13,428217.1446875378
0,150.0,93,442752.77833615034
0,200.0,25,427500.1810727501
0,200.0,64,384456.5670541045
1,50.0,1,455854.11523916747
1,50.0,3,334317.6998737095
1,50.0,5,390086.93882253894
1,50.0,6,450693.01964660047
1,50.0,8,408005.626556067
1,50.0,13,366678.565981967
1,50.0,15,432424.70237986115
1,50.0,20,348757.18088658067
1,50.0,27,406105.11346845265
1,50.0,30,340953.2989461327
1,50.0,34,415789.01399396587
1,50.0,36,432423.1484031252
1,50.0,39,393986.2763613822
1,50.0,42,379924.50999791967
1,50.0,43,391987.27608559455
1,50.0,47,387316.3479710097
1,50.0,48,369402.30515762896
1,50.0,52,438489.121868289
1,50.0,60,371870.3785489357
1,50.0,64,316779.8655613189
1,50.0,66,371860.0313453172
1,50.0,71,410542.5260756832
1,50.0,72,358955.87649581156
1,50.0,99,362460.2549770103
1,50.0,103,395068.9262917513
1,50.0,107,411836.2081486422
1,50.0,109,405450.49976277223
1,50.0,113,347398.56617133634
1,50.0,115,360218.50417117105
1,50.0,116,320920.2859431886
1,50.0,135,356252.17947175796
1,50.0,136,406384.66765389533
1,50.0,160,400722.45354999084
1,50.0,168,308133.30819640483
1,50.0,182,409465.67528707325
1,50.0,185,352810.82539276546
1,100.0,0,376844.5810487315
1,100.0,2,405512.88434211735
1,100.0,3,418121.85708653345
1,100.0,4,386618.4619556754
1,100.0,5,416437.884739402
1,100.0,7,396732.646936522
1,100.0,9,415835.71960554575
1,100.0,10,380134.82640930987
1,100.0,11,422376.0869660409
1,100.0,12,425364.3291500577
1,100.0,13,412106.891120548
1,100.0,14,390477.841803126
1,100.0,15,414569.1403262356
1,100.0,16,428237.17804414895
1,100.0,17,366350.15033777966
1,100.0,19,393940.6256797229
1,100.0,21,381557.598480116
1,100.0,31,411895.4209121688
1,100.0,35,461872.5424741125
1,100.0,50,413628.1357058454
1,100.0,53,435791.96402123757
1,100.0,66,359861.3073452819
1,100.0,71,385260.9133004136
1,100.0,72,385461.3718660596
1,100.0,73,406917.66392712557
1,100.0,76,382299.67098482396
1,100.0,77,410629.0781432486
1,100.0,78,379330.75989755493
1,100.0,80,395420.0767457038
1,100.0,81,373136.4519774022
1,100.0,84,388976.64751180174
1,100.0,90,385003.4979629947
1,100.0,176,334175.0056439658
1,150.0,1,420375.1896640421
1,150.0,3,411697.1056906447
1,150.0,9,413415.1607712747
1,150.0,10,390321.0000738744
1,150.0,11,401658.51855124417
1,150.0,12,422224.41583934176
1,150.0,13,411882.80948830437
1,150.0,14,416642.4189965781
1,150.0,15,437338.55340918165
1,150.0,26,416232.1305872712
1,150.0,31,420105.97998864425
1,150.0,32,389560.41935712297
1,150.0,39,421412.384661856
1,150.0,41,401148.6889800885
1,150.0,44,397869.6235194751
1,150.0,46,432353.22134982457
1,150.0,49,421649.48577566125
1,150.0,56,395506.40380324074
1,150.0,57,402308.6927083153
1,150.0,62,411977.9206439639
1,150.0,67,434132.1751001012
1,150.0,68,409972.0957858963
1,150.0,70,423833.15015070233
1,150.0,75,435725.35944785917
1,150.0,76,435008.3714572644
1,150.0,77,449401.01684367465
1,150.0,78,443200.1704875331
1,150.0,79,457859.4603259574
1,150.0,80,446197.68936918594
1,150.0,81,449202.08607485064
1,150.0,82,410576.3526368578
1,150.0,83,427967.4404349943
1,150.0,84,420505.15880915266
1,150.0,86,434779.5316992716
1,150.0,87,427256.5206651727
1,150.0,88,414249.64966572984
1,150.0,89,445631.0821021948
1,150.0,90,447953.91585007193
1,150.0,91,432368.1393925748
1,150.0,92,398261.1939526242
1,150.0,93,445657.95573104086
1,150.0,94,429143.95773475565
1,150.0,95,393078.56957705325
1,150.0,96,380928.3801894328
1,150.0,98,418691.9261201855
1,150.0,105,421688.47315486067
1,150.0,108,427025.86494206206
1,150.0,109,429120.83921075636
1,150.0,111,408137.1128730674
1,150.0,112,421973.8040155715
1,150.0,113,435225.3776330146
1,150.0,114,429237.51870444
1,150.0,115,423073.51740501967
1,150.0,116,409047.8700377641
1,150.0,117,407057.0443267309
1,150.0,118,406303.45354868565
1,150.0,121,424998.86237995676
1,150.0,122,401444.5013458449
1,150.0,123,443567.1966722973
1,150.0,125,428973.98016938125
1,150.0,126,443396.7408383704
1,150.0,131,421943.61724041466
1,150.0,134,430066.5916747332
1,150.0,135,440403.3674093698
1,150.0,136,420848.1057653264
1,150.0,139,432297.95479536016
1,150.0,145,419049.3619808482
1,150.0,147,409112.8370433581
1,150.0,148,408988.69711640663
1,150.0,149,399352.920707311
1,150.0,150,409282.9465856999
1,150.0,154,387622.260866363
1,150.0,161,392047.7739454681
1,150.0,162,395205.3105524039
1,150.0,164,422474.0739315797
1,150.0,165,394283.1943661586
1,150.0,166,411994.82694491674
1,150.0,167,434767.73777343205
1,150.0,170,403177.8671171792
1,150.0,175,433405.533632718
1,150.0,176,400264.13074957335
1,150.0,177,425709.00275992823
1,150.0,178,416502.95983799105
1,150.0,179,418892.6158991398
1,150.0,181,435331.56413883925
1,150.0,182,430562.43942303455
1,150.0,183,448874.6723449897
1,150.0,184,426649.6736130534
1,150.0,185,443758.11170975555
1,150.0,186,429870.1148077882
1,150.0,187,420492.9663847104
1,150.0,188,417951.2071084166
1,150.0,189,445802.2565333216
1,150.0,191,433932.82035236654
1,150.0,192,426606.9308540417
1,150.0,194,436828.0201793274
1,150.0,195,441274.56933764863
1,150.0,196,418455.83409759216
1,150.0,197,445848.96570065035
1,150.0,198,432836.89367595676
1,150.0,199,464065.61876153445
1,200.0,0,414198.8681973052
1,200.0,1,414502.5224145255
1,200.0,2,409596.91678448766
1,200.0,3,390405.49503677664
1,200.0,4,410324.51104098686
1,200.0,5,428076.17842780927
1,200.0,6,413718.9762926335
1,200.0,7,420334.86104824714
1,200.0,8,421262.1356730031
1,200.0,9,414117.83950701915
1,200.0,10,432504.2999176298
1,200.0,11,416092.7166347153
1,200.0,12,413626.9159841498
1,200.0,13,434449.029623506
1,200.0,14,426307.8736123414
1,200.0,15,392121.89313813683
1,200.0,16,411833.6059312211
1,200.0,17,416262.7178505573
1,200.0,18,418218.7638289624
1,200.0,19,406733.3150515376
1,200.0,20,407058.80018826673
1,200.0,21,403628.898866295
1,200.0,22,391267.51959260926
1,200.0,23,398318.68565576756
1,200.0,24,391038.7108700416
1,200.0,25,384288.41156553547
1,200.0,26,410247.46563149756
1,200.0,27,399209.24064233573
1,200.0,28,403018.54740835517
1,200.0,29,401606.4299959142
1,200.0,30,408530.91262312746
1,200.0,31,404730.5659929542
1,200.0,32,403145.9007752588
1,200.0,33,385636.2364292594
1,200.0,34,402317.4186086772
1,200.0,35,378750.62216220354
1,200.0,36,395662.0160408559
1,200.0,37,393790.7637052724
1,200.0,38,395925.42203154776
1,200.0,39,383656.7160931453
1,200.0,40,397253.3517689583
1,200.0,41,388449.8575057953
1,200.0,42,413041.7411611212
1,200.0,43,388014.3909143526
1,200.0,44,389346.57951288635
1,200.0,45,391326.57950003434
1,200.0,46,406383.0060589476
1,200.0,47,386338.8988536607
1,200.0,48,405432.2991254297
1,200.0,49,370028.9253860912
1,200.0,50,399634.70265982277
1,200.0,51,376766.97578768514
1,200.0,52,386788.9206171011
1,200.0,53,393308.2808278928
1,200.0,54,382429.0806572652
1,200.0,55,416943.22715489194
1,200.0,56,394161.24290354655
1,200.0,57,404709.2330452347
1,200.0,58,400324.8452242543
1,200.0,59,398964.0266874024
1,200.0,60,413573.839041294
1,200.0,61,400627.6070848912
1,200.0,62,416016.1826807232
1,200.0,63,403515.0493212456
1,200.0,64,405824.79391960264
1,200.0,65,412557.28534306184
1,200.0,66,392451.3424565847
1,200.0,67,383353.6753098692
1,200.0,68,403203.2817879222
1,200.0,69,396554.5947032384
1,200.0,70,401199.57347554207
1,200.0,71,401994.43349672214
1,200.0,72,392592.69338974997
1,200.0,73,405126.8016910765
1,200.0,74,415519.94297848095
1,200.0,75,406260.86433433316
1,200.0,76,397829.4624941832
1,200.0,77,409500.1009809695
1,200.0,78,413947.5376402683
1,200.0,79,393418.25265594246
1,200.0,80,412079.35898427473
1,200.0,81,408563.9938495965
1,200.0,82,403873.1500260295
1,200.0,83,407392.22300629097
1,200.0,84,425441.3563184531
1,200.0,85,425746.8002448082
1,200.0,86,406378.87346403475
1,200.0,87,410014.060390254
1,200.0,88,403333.51593122946
1,200.0,89,391200.16593258973
1,200.0,90,412076.54230790253
1,200.0,91,410014.9225514488
1,200.0,92,398149.08321226045
1,200.0,93,402276.6587885493
1,200.0,94,401942.7525221237
1,200.0,95,371995.1479832786
1,200.0,96,411461.1751518487
1,200.0,97,404709.3768329687
1,200.0,98,401555.2886581067
1,200.0,99,411565.10057784396
1,200.0,100,404299.26145067625
1,200.0,101,412813.7143589548
1,200.0,102,409017.35979829193
1,200.0,103,405218.0721899395
1,200.0,104,408238.0960083662
1,200.0,105,402701.32928076305
1,200.0,106,401732.70491472434
1,200.0,107,401605.11545697285
1,200.0,108,409456.06516040675
1,200.0,109,419921.14187623234
